agency_id,agency_name,agency_url,agency_timezone
CH,CH,https://www.google.com/search?q=CH%20rail%20operator%20code,Europe/London
VT,VT,https://www.google.com/search?q=VT%20rail%20operator%20code,Europe/London
TL,TL,https://www.google.com/search?q=TL%20rail%20operator%20code,Europe/London
LT,LT,https://www.google.com/search?q=LT%20rail%20operator%20code,Europe/London
ZZ,ZZ,https://www.google.com/search?q=ZZ%20rail%20operator%20code,Europe/London
NT,NT,https://www.google.com/search?q=NT%20rail%20operator%20code,Europe/London
AW,AW,https://www.google.com/search?q=AW%20rail%20operator%20code,Europe/London
MV,MV,https://www.google.com/search?q=MV%20rail%20operator%20code,Europe/London
SR,SR,https://www.google.com/search?q=SR%20rail%20operator%20code,Europe/London
SE,SE,https://www.google.com/search?q=SE%20rail%20operator%20code,Europe/London
GW,GW,https://www.google.com/search?q=GW%20rail%20operator%20code,Europe/London
TY,TY,https://www.google.com/search?q=TY%20rail%20operator%20code,Europe/London
EM,EM,https://www.google.com/search?q=EM%20rail%20operator%20code,Europe/London
TP,TP,https://www.google.com/search?q=TP%20rail%20operator%20code,Europe/London
SW,SW,https://www.google.com/search?q=SW%20rail%20operator%20code,Europe/London
LM,LM,https://www.google.com/search?q=LM%20rail%20operator%20code,Europe/London
GR,GR,https://www.google.com/search?q=GR%20rail%20operator%20code,Europe/London
GC,GC,https://www.google.com/search?q=GC%20rail%20operator%20code,Europe/London
CS,CS,https://www.google.com/search?q=CS%20rail%20operator%20code,Europe/London
WR,WR,https://www.google.com/search?q=WR%20rail%20operator%20code,Europe/London
XR,XR,https://www.google.com/search?q=XR%20rail%20operator%20code,Europe/London
SN,SN,https://www.google.com/search?q=SN%20rail%20operator%20code,Europe/London
LE,LE,https://www.google.com/search?q=LE%20rail%20operator%20code,Europe/London
XC,XC,https://www.google.com/search?q=XC%20rail%20operator%20code,Europe/London
NY,NY,https://www.google.com/search?q=NY%20rail%20operator%20code,Europe/London
LS,LS,https://www.google.com/search?q=LS%20rail%20operator%20code,Europe/London
HX,HX,https://www.google.com/search?q=HX%20rail%20operator%20code,Europe/London
CC,CC,https://www.google.com/search?q=CC%20rail%20operator%20code,Europe/London
HT,HT,https://www.google.com/search?q=HT%20rail%20operator%20code,Europe/London
LD,LD,https://www.google.com/search?q=LD%20rail%20operator%20code,Europe/London
ME,ME,https://www.google.com/search?q=ME%20rail%20operator%20code,Europe/London
LO,LO,https://www.google.com/search?q=LO%20rail%20operator%20code,Europe/London
SJ,SJ,https://www.google.com/search?q=SJ%20rail%20operator%20code,Europe/London
TW,TW,https://www.google.com/search?q=TW%20rail%20operator%20code,Europe/London
GN,GN,https://www.google.com/search?q=GN%20rail%20operator%20code,Europe/London
GX,GX,https://www.google.com/search?q=GX%20rail%20operator%20code,Europe/London
SO,SO,https://www.google.com/search?q=SO%20rail%20operator%20code,Europe/London
ES,ES,https://www.google.com/search?q=ES%20rail%20operator%20code,Europe/London
IL,IL,https://www.google.com/search?q=IL%20rail%20operator%20code,Europe/London
